,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
2000,-0.3634,0.0230995855769,53,1.49581,1
2001,-1.15632,0.0227677531915,2,-0.61998,0
2002,-0.56259,0.0389827723404,4,-0.07119,1
2003,1.00318,0.0725832614286,36,0.38035,1
2004,6.26095,0.0810709793103,43,7.99883,1
2005,-1.87133,0.126551418182,36,-2.99712,0
2006,-0.03938,0.0268754808511,12,0.45472,0
2007,7.88573,0.00396848571429,54,9.07885,1
2008,7.43342,0.0120164285714,24,8.33326,0
2009,-0.12552,0.00960425925926,0,0.52655,0
2010,0.96753,0.420113913043,36,-1.81374,0
2011,-0.37111,0.0354946042553,51,0.05531,1
2012,0.87764,0.0136435032895,37,3.31153,1
2013,6.20501,0.145152241379,37,7.87859,0
2014,2.05625,0.0678022641509,36,2.56601,0
2015,7.45591,0.00344354081633,38,8.3609,0
2016,2.34825,0.0273997310811,6,4.02853,1
2017,6.91846,0.0315008527778,22,7.91783,1
2018,-0.80623,0.005091528,3,1.57239,1
2019,6.2135,0.097933437931,9,7.89685,1
2020,0.37209,0.26594256,36,4.29605,1
2021,0.70347,0.330077,36,4.29429,1
2022,-1.97476,0.0273772755556,36,3.36383,0
2023,7.14474,0.0358712083333,30,8.22243,1
2024,6.88228,0.01991895,12,7.62747,0
2025,1.31717,0.0151747835294,8,2.84484,1
2026,6.72674,0.0311278916667,11,7.65976,1
2027,-0.00623,0.0267544170213,44,0.47327,0
2028,1.89527,0.144859090909,36,2.5024,1
2029,7.01753,0.0150145285714,2,7.79162,0
2030,-0.87685,0.0100715833333,41,-0.07561,0
2031,-1.30256,0.0284488510638,47,-0.80374,0
2032,2.08028,0.0649938851852,36,2.61419,1
2033,-0.49595,0.0311505957447,26,-0.13053,0
2034,0.27905,0.0640953575,37,0.59378,1
2035,2.7509,0.0356637965517,47,4.03673,0
2036,-0.17529,0.0325714042553,30,0.40135,1
2037,-1.79242,0.113045288235,36,-3.05839,0
2038,-0.42779,0.0427679055556,21,0.18873,1
2039,-0.26202,0.0284559319149,6,0.1115,1
2040,7.37506,0.0103232755102,13,8.26153,0
2041,2.52789,0.0206866039683,36,3.97188,1
2042,2.45963,0.0244435483871,55,3.95668,0
2043,0.24924,0.0349028085106,53,0.63358,1
2044,-3.83973,0.0058672962963,8,-3.02733,0
2045,7.05837,0.0259563714286,39,7.84118,0
2046,-1.15303,4.61509425,36,1.3462,1
2047,2.09388,0.0594479945455,36,2.65811,1
2048,2.21213,0.125218770492,25,4.56833,1
2049,7.74216,0.00349010357143,31,8.89275,1
2050,0.46098,0.230372171429,36,4.29624,1
2051,-0.57969,0.0338411723404,32,-0.17533,0
2052,2.85778,0.00813287292818,2,5.13851,0
2053,-0.2892,0.0331469297872,43,0.19845,1
2054,-0.19365,0.0163029666667,28,0.49665,0
2055,0.40879,0.0449827190476,35,0.67905,1
2056,-1.72901,0.10231308,36,-3.08813,1
2057,1.0419,0.037103368254,37,1.34951,0
2058,-1.22939,0.0196625317073,53,1.88483,1
2059,1.98596,0.125629411765,36,2.4799,1
2060,1.03216,0.3215189,36,-1.84796,1
2061,2.88398,0.014226,32,1.16942,1
2062,6.20172,0.109044744828,6,7.87153,1
2063,-0.30568,0.0139231296296,7,0.45314,0
2064,-2.58496,0.00375533333333,24,-0.09095,0
2065,7.17931,0.0163689571429,19,7.98796,1
2066,7.27255,0.02040015,23,8.10112,1
2067,0.79794,0.261506016,36,4.28421,1
2068,2.10134,0.0532302071429,36,2.69842,1
2069,-1.29123,0.0121701545455,11,1.51951,1
2070,6.59372,0.033546625,32,7.48069,0
2071,-0.42333,0.0095823,56,0.47781,1
2072,6.87979,0.0239375238095,28,7.62445,0
2073,-0.33667,0.02611476,35,-0.0347,0
2074,6.22928,0.0918215724138,53,7.93077,1
2075,2.69922,0.0546102040816,36,2.67593,0
2076,0.53867,0.196772727273,36,4.29781,1
2077,6.23122,0.134368982759,25,7.93494,1
2078,7.5022,0.0031630952381,14,8.80055,0
2079,-0.84195,0.0204954307692,35,0.86517,0
2080,-4.35999,0.00404953333333,8,-1.9114,1
2081,6.94094,0.037298,49,7.9481,1
2082,6.79205,1.39600763333,36,7.74767,1
2083,6.18111,0.0895827586207,26,7.82724,0
2084,2.11038,0.0491226,36,2.72557,1
2085,7.218,0.00921821428571,7,8.06847,0
